email,dob,firstName,lastName
DavidPMcNeill@armyspy.com,11/14/1998,David,McNeill
ToddMCannon@superrito.com,2/4/2006,Todd,Cannon
LewisBClements@dayrep.com,12/24/2004,Lewis,Clements
RosemariePThomas@fleckens.hu,4/1/2005,Rosemarie,Thomas
ReubenECollins@armyspy.com,12/7/2002,Reuben,Collins
MarionEKinney@cuvox.de,3/16/1999,Marion,Kinney
BrendaFThomas@teleworm.us,4/28/2000,Brenda,Thomas
DeidreNGentry@einrot.com,7/22/2002,Deidre,Gentry
RoderickLClay@rhyta.com,1/10/2000,Roderick,Clay
MadelineDShirley@superrito.com,7/3/2001,Madeline,Shirley
NicholasMWong@superrito.com,2/28/2003,Nicholas,Wong
KennethEVargas@cuvox.de,2/11/2004,Kenneth,Vargas
RobertJHarper@armyspy.com,8/6/2004,Robert,Harper
AltonMSitz@armyspy.com,6/8/2006,Alton,Sitz
MonicaBBass@dayrep.com,8/6/2003,Monica,Bass
MaryJTopp@rhyta.com,2/14/2001,Mary,Topp
TonyaDNess@jourrapide.com,12/24/2001,Tonya,Ness
RosieDHamilton@einrot.com,3/21/2005,Rosie,Hamilton
RichardLShaw@armyspy.com,9/3/2005,Richard,Shaw
StewartCCervantes@gustr.com,11/27/2001,Stewart,Cervantes
DanielCConti@gustr.com,10/7/1998,Daniel,Conti
GrantBBrown@gustr.com,1/28/2005,Grant,Brown
SheldonCMay@gustr.com,12/2/1998,Sheldon,May
MauriceSKoerner@gustr.com,9/20/2003,Maurice,Koerner
ThomasDOConnor@rhyta.com,12/8/1999,Thomas,O'Connor
